camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,18,True,4322.0,6122.5,0.7059207839934667,426.6173119544983,71,122,1313,30,True,115.59296417236328,64.18376922607422,9.566228866577148,0.8316790148180366
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,19,True,5095.0,7569.5,0.673095977277231,610.6416971683502,106,109,879,26,True,119.9852066040039,68.83064270019531,44.388084411621094,0.8190939400043409
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,20,True,4241.0,6344.0,0.6685056746532156,622.5360442399979,124,70,898,26,True,119.25399017333984,59.304683685302734,107.19166564941406,0.8675802128843971
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,21,True,5726.0,8932.0,0.6410658307210031,758.667259812355,140,111,932,25,True,139.14120483398438,83.74211120605469,120.9988021850586,0.7986092760590235
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,22,True,3272.0,4528.5,0.7225350557579773,558.7853145599365,79,89,724,26,True,96.71893310546875,50.633758544921875,38.32119369506836,0.8520167993166579
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,23,True,5303.0,7709.5,0.6878526493287502,538.3157962560654,92,125,1303,24,True,120.1358413696289,81.4094467163086,165.33700561523438,0.7353892276334966
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,0,True,1238.0,1554.5,0.7963975554840785,249.50726783275604,52,46,354,18,True,46.7999267578125,39.805843353271484,83.631591796875,0.5258884638447672
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,1,True,1574.0,1830.5,0.8598743512701448,207.33809351921082,44,62,676,17,True,58.00636672973633,37.595497131347656,13.080641746520996,0.7615321971168657
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,2,True,2220.0,2883.0,0.7700312174817898,285.76449966430664,62,73,827,18,True,70.12547302246094,48.078765869140625,30.767065048217773,0.7279685018471335
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,3,True,1228.0,1328.0,0.9246987951807228,177.53910398483276,31,56,386,18,True,58.94610595703125,26.477127075195312,169.00906372070312,0.8934437128382549
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,4,True,1195.0,1492.5,0.8006700167504187,280.83217918872833,47,42,389,19,True,47.567691802978516,38.00467300415039,57.72992706298828,0.6013844491067248
